contributor,type,PR,commit,issue,repo
TanvirBhuiyan19,Human,,3.0,,84.0
AkihiroSuda,Human,100.0,44.0,39.0,9.0
xwjdsh,Human,19.0,87.0,12.0,74.0
spaam,Human,,,18.0,
messense,Human,51.0,89.0,80.0,41.0
woodruffw,Human,80.0,73.0,41.0,44.0
dev-errant,Human,1.0,14.0,,6.0
ryenus,Human,3.0,32.0,7.0,15.0
coffeegoddd,Human,75.0,44.0,67.0,52.0
scpeters,Human,89.0,48.0,60.0,40.0
fsouza,Human,67.0,80.0,24.0,72.0
p-linnane,Human,38.0,72.0,3.0,29.0
bashofmann,Human,65.0,67.0,17.0,39.0
aliscott,Human,152.0,58.0,4.0,41.0
chenrui333,Human,53.0,61.0,17.0,45.0
henryiii,Human,77.0,72.0,53.0,51.0
blockstack-devops,Bot,6.0,34.0,101.0,69.0
mrexox,Human,80.0,80.0,53.0,66.0
grafanabot,Bot,19.0,27.0,92.0,71.0
chiefmikey,Human,62.0,132.0,7.0,67.0
ArduinoBot,Bot,27.0,1.0,,8.0
ik11235,Human,74.0,13.0,2.0,181.0
zmwangx,Human,,71.0,,1.0
sayomaki,Human,18.0,48.0,8.0,11.0
issyl0,Human,61.0,90.0,45.0,61.0
makigumo,Human,115.0,66.0,,119.0
efiop,Human,76.0,86.0,46.0,57.0
semgrep-ci[bot],App,67.0,,,125.0
danielnachun,Human,89.0,114.0,,91.0
mxcl,Human,106.0,44.0,97.0,50.0
phpstan-bot,Bot,16.0,181.0,59.0,44.0
sami-alajrami,Human,84.0,82.0,6.0,111.0
uyjulian,Human,38.0,188.0,11.0,58.0
MikeMcQuaid,Human,74.0,44.0,84.0,27.0
pthariensflame,Human,32.0,185.0,27.0,45.0
mise-en-dev,Human,47.0,123.0,,117.0
miles170,Human,47.0,38.0,3.0,153.0
huacnlee,Human,20.0,117.0,59.0,77.0
svc-devtoolsbot,Bot,38.0,201.0,,61.0
github-actions[bot],App,1.0,295.0,1.0,3.0
